taxa,A,a
Saxifraga_stolonifera,0,1
Saxifraga_trabutiana,0,1
Saxifraga_erioblasta,1,0
Saxifraga_rigoi,0,1
Saxifraga_canaliculata,0,1
Saxifraga_camposii,0,1
Saxifraga_trifurcata,0,1
Saxifraga_babiana,0,1
Saxifraga_cuneata,0,1
Saxifraga_hypnoides,0,1
Saxifraga_fragosoi,0,1
Saxifraga_bulbifera,0,1
Saxifraga_dichotoma,0,1
Saxifraga_latepetiolata,0,1
Saxifraga_graeca,0,1
Saxifraga_sedoides,0,1
Saxifraga_rosacea,0,1
Saxifraga_cespitosa,1,0
Saxifraga_granulata,0,1
Saxifraga_cintrana,0,1
Saxifraga_gemmulosa,0,1
Saxifraga_aquatica,0,1
Saxifraga_exarata,1,0
Saxifraga_cebennensis,0,1
Saxifraga_fragilis,0,1
Saxifraga_hariotii,0,1
Saxifraga_praetermissa,1,1
Saxifraga_pubescens,1,0
Saxifraga_vayredana,0,1
Saxifraga_pentadactylis,1,1
Saxifraga_nevadensis,1,0
Saxifraga_biternata,0,1
Saxifraga_reuteriana,0,1
Saxifraga_globulifera,0,1
Saxifraga_conifera,0,1
Saxifraga_arachnoidea,0,1
Saxifraga_aphylla,1,1
Saxifraga_tridactylites,0,1
Saxifraga_androsacea,1,0
Saxifraga_depressa,1,0
Saxifraga_florulenta,1,0
Saxifraga_aizoides,1,0
Saxifraga_mutata,1,1
Saxifraga_caesia,1,1
Saxifraga_afghanica,1,0
Saxifraga_squarrosa,1,0
Saxifraga_biflora,1,0
Saxifraga_pulvinaria,1,0
Saxifraga_oppositifolia,1,0
Saxifraga_spathularis,0,1
Saxifraga_hostii,1,1
Saxifraga_paniculata,1,0
Saxifraga_cuneifolia,0,1
Saxifraga_rotundifolia,0,1
Saxifraga_cochlearis,0,1
Saxifraga_hirsuta,0,1
Saxifraga_aspera,0,1
Saxifraga_bryoides,1,0
Saxifraga_hyperborea,1,0
Saxifraga_cernua,1,1
Saxifraga_sibirica,1,1
Saxifraga_wallichiana,1,1
Saxifraga_brachypoda,1,0
Saxifraga_brunonis,1,1
Saxifraga_setigera,1,0
Saxifraga_flagellaris,1,0
Saxifraga_nangxianensis,1,0
Saxifraga_consanguinea,1,1
Saxifraga_hispidula,1,1
Saxifraga_strigosa,0,1
Saxifraga_gemmipara,1,1
Saxifraga_balfourii,1,1
Saxifraga_sinomontana,1,0
Saxifraga_tangutica,1,1
Saxifraga_hookeri,0,1
Saxifraga_isophylla,1,0
Saxifraga_xiaozhongdianensis,0,1
Saxifraga_egregia,1,1
Saxifraga_insolens,1,0
Saxifraga_diversifolia,1,1
Saxifraga_peplidifolia,1,0
Saxifraga_pseudohirculus,1,0
Saxifraga_hirculus,1,0
Saxifraga_kingiana,0,1
Saxifraga_sanguinea,1,0
Saxifraga_serpyllifolia,1,0
Saxifraga_gemmigera,1,0
Saxifraga_tatsienluensis,1,0
Saxifraga_unguiculata,1,0
Saxifraga_punctulata,1,0
Saxifraga_dingqingensis,1,0
Saxifraga_umbellulata,1,0
Saxifraga_hederacea,0,1
Saxifraga_rebunshirensis,0,1
Saxifraga_bronchialis,0,1
Saxifraga_funstonii,1,0
Saxifraga_cherlerioides,0,1
Saxifraga_tricuspidata,1,1
Saxifraga_taylorii,0,1
Saxifraga_losae,0,1
Saxifraga_mertensiana,0,1
Saxifraga_fortunei,0,1
Saxifraga_cotyledon,1,1
Saxifraga_cacuminum,1,0
Saxifraga_parkaensis,1,0
Saxifraga_yezhiensis,1,0
Saxifraga_yarlungzangboensis,1,0
Saxifraga_wenchuanensis,1,0
Saxifraga_wardii,1,0
Saxifraga_wahlenbergii,0,1
Saxifraga_versicallosa,1,0
Saxifraga_vandellii,1,1
Saxifraga_valdensis,1,0
Saxifraga_unguipetala,1,0
Saxifraga_umbrosa,0,1
Saxifraga_tsangchanensis,1,0
Saxifraga_triaristulata,1,0
Saxifraga_tombeanensis,1,1
Saxifraga_tibetica,1,0
Saxifraga_tenella,1,1
Saxifraga_taygetea,1,1
Saxifraga_substrigosa,0,1
Saxifraga_subsessiliflora,1,0
Saxifraga_subaequifoliata,1,0
Saxifraga_stribrnyi,0,1
Saxifraga_stellerana,0,1
Saxifraga_stella_aurea,1,0
Saxifraga_sphaeradena,1,0
Saxifraga_signatella,1,0
Saxifraga_signata,1,0
Saxifraga_sibthorpii,0,1
Saxifraga_sempervivum,0,1
Saxifraga_sediformis,1,1
Saxifraga_scardica,0,1
Saxifraga_sancta,0,1
Saxifraga_saginoides,1,0
Saxifraga_rufescens,0,1
Saxifraga_rivularis,0,1
Saxifraga_retusa,1,1
Saxifraga_repanda,0,1
Saxifraga_punctulatoides,1,0
Saxifraga_pulchra,1,1
Saxifraga_przewalskii,1,0
Saxifraga_presolanensis,0,1
Saxifraga_prattii,1,1
Saxifraga_perpusilla,1,0
Saxifraga_pedemontana,1,1
Saxifraga_parva,1,0
Saxifraga_parnassifolia,0,1
Saxifraga_osloensis,1,1
Saxifraga_oreophila,1,0
Saxifraga_omphalodifolia,1,0
Saxifraga_nigroglandulifera,1,1
Saxifraga_nanella,1,0
Saxifraga_mucronulatoides,1,1
Saxifraga_mucronulata,1,0
Saxifraga_moorcroftiana,1,0
Saxifraga_montanella,1,0
Saxifraga_microgyna,1,0
Saxifraga_mengtzeana,0,1
Saxifraga_maxionggouensis,1,1
Saxifraga_marginata,0,1
Saxifraga_magellanica,1,0
Saxifraga_macrostigmatoides,1,0
Saxifraga_macrocalyx,1,0
Saxifraga_lychnitis,1,0
Saxifraga_luteoviridis,0,1
Saxifraga_longifolia,0,1
Saxifraga_llonakhensis,1,0
Saxifraga_litangensis,1,0
Saxifraga_linearifolia,1,0
Saxifraga_kotschyi,1,1
Saxifraga_komarovii,1,0
Saxifraga_kingdonii,1,0
Saxifraga_kegangii,0,1
Saxifraga_juniperifolia,1,1
Saxifraga_jacquemontiana,1,0
Saxifraga_italica,1,0
Saxifraga_irrigua,0,1
Saxifraga_implicans,1,0
Saxifraga_imparilis,0,1
Saxifraga_hypericoides,1,1
Saxifraga_hirculoides,1,0
Saxifraga_heterotricha,1,0
Saxifraga_heterocladoides,1,0
Saxifraga_hengduanensis,1,0
Saxifraga_heleonastes,1,0
Saxifraga_haplophylloides,1,0
Saxifraga_gyalana,1,1
Saxifraga_granulifera,1,1
Saxifraga_gouldii,1,0
Saxifraga_gonggashanensis,1,0
Saxifraga_glaucophylla,1,1
Saxifraga_glacialis,1,0
Saxifraga_giraldiana,0,1
Saxifraga_georgei,1,0
Saxifraga_gedangensis,0,1
Saxifraga_forrestii,1,0
Saxifraga_flexilis,1,0
Saxifraga_firma,1,0
Saxifraga_finitima,1,0
Saxifraga_filicaulis,0,1
Saxifraga_federici_augusti,0,1
Saxifraga_erinacea,1,0
Saxifraga_epiphylla,0,1
Saxifraga_engleriana,1,0
Saxifraga_eglandulosa,1,0
Saxifraga_drabiformis,1,0
Saxifraga_diffusicallosa,1,0
Saxifraga_dielsiana,0,1
Saxifraga_diapensioides,1,1
Saxifraga_diapensia,1,0
Saxifraga_dianxibeiensis,1,0
Saxifraga_densifoliata,1,0
Saxifraga_daqiaoensis,0,1
Saxifraga_dahaiensis,1,0
Saxifraga_cymbalaria,0,1
Saxifraga_culcitosa,1,0
Saxifraga_crustata,0,1
Saxifraga_corsica,0,1
Saxifraga_contraria,1,0
Saxifraga_congestiflora,1,0
Saxifraga_cinerascens,1,0
Saxifraga_ciliatopetala,1,0
Saxifraga_chrysanthoides,1,0
Saxifraga_chrysantha,1,0
Saxifraga_chionophila,1,0
Saxifraga_caveana,1,0
Saxifraga_carpatica,0,1
Saxifraga_cardiophylla,1,1
Saxifraga_candelabrum,1,1
Saxifraga_bulleyana,1,0
Saxifraga_bracteata,1,0
Saxifraga_brachyphylla,1,1
Saxifraga_berica,0,1
Saxifraga_bergenioides,1,0
Saxifraga_auriculata,1,1
Saxifraga_aurantiaca,1,0
Saxifraga_aristulata,1,1
Saxifraga_aretioides,1,1
Saxifraga_angustata,1,0
Saxifraga_andersonii,1,0
Saxifraga_aleutica,1,0
Saxifraga_adscendens,1,1
Saxifraga_paradoxa,0,1
Saxifraga_banmaensis,1,0
Astilbe_chinensis,0,1
Astilbe_japonica,0,1
Astilbe_rivularis,0,1
Bensoniella_oregona,0,1
Bergenia_ciliata,0,1
Bergenia_crassifolia,0,1
Bergenia_emeiensis,0,1
Bergenia_ligulata,0,1
Bergenia_purpurascens,1,1
Bergenia_stracheyi,0,1
Bolandra_californica,0,1
Bolandra_oregana,0,1
Boykinia_occidentalis,0,1
Boykinia_richardsonii,1,0
Boykinia_rotundifolia,0,1
Cascadia_nuttallii,0,1
Chrysosplenium_alternifolium,0,1
Chrysosplenium_americanum,0,1
Chrysosplenium_davidianum,0,1
Chrysosplenium_flagelliferum,0,1
Chrysosplenium_grayanum,0,1
Chrysosplenium_griffithii,0,1
Chrysosplenium_hydrocotylifolium,0,1
Chrysosplenium_iowense,0,1
Chrysosplenium_japonicum,0,1
Chrysosplenium_lanuginosum,0,1
Chrysosplenium_microspermum,0,1
Chrysosplenium_nepalense,0,1
Chrysosplenium_oppositifolium,0,1
Chrysosplenium_pilosum,0,1
Chrysosplenium_rosendahlii,0,1
Chrysosplenium_tetrandrum,1,0
Chrysosplenium_wrightii,1,0
Conimitella_williamsii,0,1
Darmera_peltata,0,1
Elmera_racemosa,1,1
Heuchera_americana,0,1
Heuchera_cylindrica,1,1
Heuchera_glabra,1,1
Heuchera_hirsutissima,0,1
Heuchera_merriamii,0,1
Heuchera_micrantha,0,1
Heuchera_parviflora,0,1
Heuchera_richardsonii,0,1
Heuchera_rubescens,1,1
Heuchera_sanguinea,0,1
Jepsonia_parryi,0,1
Leptarrhena_pyrolifolia,1,1
Micranthes_aprica,1,0
Micranthes_atrata,1,0
Micranthes_brachypetala,0,1
Micranthes_bryophora,0,1
Micranthes_californica,0,1
Micranthes_calycina,1,0
Micranthes_careyana,0,1
Micranthes_caroliniana,0,1
Micranthes_eriophora,0,1
Micranthes_fallax,0,1
Micranthes_ferruginea,0,1
Micranthes_foliolosa,1,0
Micranthes_fusca,1,0
Micranthes_hieraciifolia,1,0
Micranthes_howellii,0,1
Micranthes_integrifolia,1,1
Micranthes_laciniata,1,0
Micranthes_lyallii,1,0
Micranthes_manchuriensis,0,1
Micranthes_marshallii,0,1
Micranthes_melaleuca,0,1
Micranthes_melanocentra,1,0
Micranthes_merkii,1,0
Micranthes_micranthidifolia,0,1
Micranthes_nelsoniana,1,0
Micranthes_nidifica,0,1
Micranthes_nivalis,1,0
Micranthes_nudicaulis,1,0
Micranthes_occidentalis,1,0
Micranthes_odontoloma,1,1
Micranthes_oregana,0,1
Micranthes_pallida,1,1
Micranthes_pensylvanica,0,1
Micranthes_petiolaris,0,1
Micranthes_punctata,0,1
Micranthes_purpurascens,1,0
Micranthes_razshivinii,1,0
Micranthes_redofskyi,1,0
Micranthes_reflexa,1,0
Micranthes_rhomboidea,1,1
Micranthes_rufidula,0,1
Micranthes_sachalinensis,0,1
Micranthes_spicata,1,0
Micranthes_subapetala,1,1
Micranthes_tempestiva,1,1
Micranthes_tenuis,1,0
Micranthes_texana,0,1
Micranthes_tilingiana,0,1
Micranthes_tolmiei,1,0
Micranthes_virginiensis,0,1
Mitella_acerina,0,1
Mitella_caulescens,0,1
Mitella_diphylla,0,1
Mitella_japonica,0,1
Mitella_nuda,0,1
Mitella_pauciflora,0,1
Mitella_stauropetala,0,1
Mitella_stylosa,0,1
Mitella_yoshinagae,0,1
Mukdenia_rossii,0,1
Oresitrophe_rupifraga,0,1
Ozomelis_diversifolia,0,1
Ozomelis_trifida,0,1
Pectiantia_breweri,0,1
Pectiantia_ovalis,0,1
Pectiantia_pentandra,0,1
Peltoboykinia_tellimoides,0,1
Rodgersia_aesculifolia,0,1
Rodgersia_pinnata,0,1
Rodgersia_podophylla,0,1
Rodgersia_sambucifolia,0,1
Saniculiphyllum_guangxiense,0,1
Saxifragopsis_fragarioides,1,1
Suksdorfia_violacea,0,1
Sullivantia_oregana,0,1
Tanakaea_radicans,0,1
Telesonix_heucheriformis,1,1
Tellima_grandiflora,0,1
Tiarella_cordifolia,0,1
Tolmiea_menziesii,0,1